,text
5729,@tamako_han ナチスや共産党の指導に愚民は従うべきであり、日本ではツイフェミ様の指導に愚民どもはただひたすら従えばよろしい。文句を言ったり屁理屈を言う奴は秘密警察が捕まえにくるぞ。
5735,@tetoranpotto 簡単でも量の暴力が…
5737,@junguile @partipentazona はい。もし僕が介護職の方々の気分を害すような投稿をしたのであれば謝罪します。申し訳ありません！
5740,@kharaguchi @Mitiko_k この発言への自己反省ならまず、ご本人への謝罪が先じゃないですか？それに誰もあなたの理がない論には、論破されていませんよ。 https://t.co/1RibuNpbS9
5742,@neg_0k 大丈夫だよー！！警察呼ぶタイミング分からないままお帰りになられてしまった････
5743,コロナウイルス震源地武漢から命がけで上げた動画 「和訳」 https://t.co/jp4OUneMV7 @YouTubeさんから
5747,@tama_moriri 新車なのにねw まぁあとは正面衝突した 車の保険屋どうしで どうしてもらうかよね！
5751,@hinakazu0032 それでもお父様が、目撃証言も証拠も第三者委員会が設置できる程に揃えたんですから。代理人も立てて。必ず実を結ぶ所まで支援したいです。
5752,救急車と消防車の緊急走行5連発   青森地域広域事務組合、仙台市消防局 https://t.co/ZUlATQJo1I @YouTubeより
5756,@ujOzXoAPPQ1GX98 警察はスピードが命ですよ！！
5759,@yonomoriakari わ鐵 上信 上毛 以上は車爆撃でしたので、乗りに行きます  表アカウントで駅メモネタやるとキツネ鍋にされかねない
5760,@twbk40p それ聞きたい！豆買うー！ 永夢と渡で虐める図w イルネスさんは学校爆破する威力で！早よ3DCGを会得せねばな
5762,@m78age ハリケーンマイトってだれ？w
5763,@ICO3929 ダメでした(致命的な誤字)
5769,@uwDnmKYm6nDNLOr 炎炎ノ消防隊
5780,@rwlove12260518 よし8時間ですね、待ちましょう！ ここで『暴力』て自分で言ってんのほんとウケる😂😂😂😂 https://t.co/fn0J9glUgK
5782,@poko_82 雑巾の絞りカスってまさにドンピシャな言葉ですやん... ほんとそれですねークリスタルが出始めた辺りから崩壊しまくってる気もする...いいゲームなのに😭
5784,@arimoto_kaori 勘違いしてる人も多いが病院はサービス業じゃない。 病院は忙しいからこいつだけにかかりっきりはできない。色々な患者もいるしな。  追い返し方が気に入らんかったのはわかるがサービスを求めるな。出来る病院で検査すりゃいいだけ。
5786,@clean_181 「…………(おにぎりを警戒しつつ優作くんが食べてるのをみて) …………何も入れてません？(そろ……とおにぎりを取り)」
5794,@LaughTale77 むしろ政府に洗脳されてる平和ボケした考え方だなと思いました。風邪や軽い肺炎程度とでも思ってるんでしょうね。まだまだ、わからない事だらけなのに。インフルエンザと違って見えない恐怖があるから各国は厳しい判断を下してるのに
5798,@HGKCLUB 血まみれの鰐の被り物をした大男が器用に時計を直して、直し終わると壊している。こちらを見ると静かに時計を壊し、歩いてきた【力5で心-3】【力4以下で心-2】【力6以上で相討ち、夢の欠片：悪食の鉈入手。力＋5】【能力使用禁止】 #浮橋奇譚 #shindanmaker https://t.co/LhjYP6nTkR ﾜｵ
5802,@GinjiroShiba ですです！海外ギルドのChapterHouseです！IAという海外ギルド時代からG兄貴にはおせわになっているので、なかなか長い付き合いだったりするんですよー！いつもは時間があわないのですが年央の騒乱なので、できるだけ一緒にあそぼうとがんばってますー！
5807,@kurokidou こちらこそ、言葉足らずで申し訳ないです💦  赤十字さんが 「嫌な思いされた方申し訳ないが しかし血液が足りないんです！ 早急に新しい層に献血に足を運んでもらう為には我々は手段を問わない！批判も甘んじて受けます！ お陰で献血に来てくれる人が増えました。血液が増え命を救えます！」 なら→
5809,@hiyohiyo0804 短足暴走ゴジラww
5811,コロナウイルス震源地武漢から命がけで上げた動画 「和訳」 https://t.co/fiRngRGYyu @YouTubeより
5813,@lovebird_miru @VRtennigirl_K 正々堂々と持っていたら、案外誰も通報しない物ですよ～ もっとも、血まみれの抜き身で持ってたら、即通報案件ですけどね😅
5815,@pyhurion_rm526 ストーカー認定だけは堪忍して欲しいんやで🙏🙏
5819,@pikamusya11 そう言う奴絶対いるよなw 俺もマイクラのバトルで友達2人と 『ゲームでダンゴとか絶対ゆるさねぇ、ダンゴ警察だ‼️』 って言って自分たちがダンゴしてボコボコにしてたわw  ん？あ、そっかぁ…じゃあ…4のうか…
5823,@Naenano_loving @naenano78 顔面土砂崩れでも彼氏できた有難い
5826,@murasaki_xo 本日単体でしたが、こないだは群れでいました。窃盗団ねハイハイ、と思ってました🥺
5848,@tesitesiko7549 殺人鬼の目してる
5863,@md_tansoku @kimikosi2002 @JAPAN09090 政府が武漢を物理的遮断する前に市民の約半数(50000人？)が逃げたという話もありますし、逃げた方々がどの程度感染していたかも不明ですから、まだまだ終息は遠い気がします。
5864,@mino_mcz 最上階から見下ろしたら、恐怖しかありませんww
5865,@dahyo923_hpp 毎朝部屋から出るときにあわててるからドアに激突(°⊿°`๑)
5866,@nagamichi_yuya 目撃者さん探すのと合わせて、念のため弁護士さんに相談するのが良さそうですね・・・　善意が裏返ると精神的にも大変でしょうし・・・
5869,@gaogao_2525 害悪は存在を抹消するため 見えないマンにして行くことがある 気にすらしたくないから とりま1号からカウントして見えないマン○号ってしてゆくと 気持ち楽になると思う！
5874,@manab_dd 被害を受けた場所　会社：90％ 　　　　　　　　　うちのアパート：10％ だと思うんですよね。 工場勤務だけあって、みんな何を考えているかわからない社員とかもいますからね。別工場だと他人のロッカーから窃盗とかもありましたし。自分の職場と昔から居る人（先輩達）以外信用出来ません。
5875,@Alianrhodvocal そーなのよ。 もしくは見て見ぬ振りするかってなる。。  つか、助けた方に罪があんのか？って話なんだけどさー。。絶対おかしいでしょ？ なんなんだ、この世の中とかって思っちゃう。  目撃者出てきてくれること祈るばかり。 でさ、目撃者探しの貼紙とかもできないんでしょきっと。
5877,@koma_dai5 まじで殴る距離で魂からのワンパン強すぎだし、追ってると見せかけて他の鯖に当てるの上手すぎ😱
5880,@Sora_jun_830 ツイート遡って爆撃しました愛❕❕❕🥺💗
5885,@gokudo_oshou2 そうなのですか…中国のバイオテロが各国内の騒動にもなっていますね… 日本は備えがなさすぎるのです。あまりにも平和すぎて色々な最悪な状況には対応できないのですね…
5887,【神回】アイドル配信者に本気で恋したストーカー女がガチでキモすぎるｗｗｗ【生放送】 https://t.co/2Sir2h9CiX @YouTubeより
5891,雷神公司的工程师因将美国的导弹防御机密带到中国而被捕-我们的政府何时才能理解中共及其间谍是对我们民主和生活方式的生存威胁？华尔街什么时候开始？ @AmbCuiTiankai https://t.co/oF4bIQB3au
5895,@cvzinsyuu ひえええええ！！！ 核爆弾飛んできるぞおおおお！！ 退避いいいいいいい！！！
5908,@TSUBAKI811 上林が横領したって言ってる時点で 未だに菊田が仕込んだ罠に洗脳されてる  上林が表に出れないのは 貴方みたいに菊田に洗脳されたアホがたくさんいるからだって気付けよ
5909,@afpbbcom ようやく鎮火の見通しが出てきた。だが火災の反動により、今度は土壌が流される危険性が出てきている。落ち葉や草木が焼き払われた事により、土壌の水分吸収力が完全に失われてしまったからだ。夏が終わったら、ひどい土砂の流出と鉄砲水が起きるに違いない。生き延びた動物たちが再び失われてしまう。
5912,@KochanDio369 @okabaeri9111 おかしいよねえ～ 大富豪になってその末に何になるのか？ 大量殺人鬼になるなんて 若かりし頃にパソコンの普及を夢見て情熱を燃やしていた時代に 将来の自分がただの殺人鬼になるなんて知らされたら拒絶したと思うけれど・・・ 彼の心の奥に自分は大間違いしていた！と気付きの光が差し込みます様に！
5915,@ASW_G_234B そこにいますか？ 衝突に 戦々恐々
5919,@KAZUMI97199413 @Jm33t8MkLcgmGP2 @aiko33151709 @YuzukiMuroi 何度も言いますが、その政令を全ての法に優先させるのが、緊急事態条項です。
5921,@G2_1988 如果你看过刘震云的作品《头人》，就会理解这样的事发生某些地方不奇怪。警察行政欠妥，但不这么干，你前脚走，后脚这些人照样我行我素。上头以行政命令把防治不出新疫情的任务交给了派出所，真出了新患者，警察弄不好就得扒了官衣儿……
5924,@tisato_yukkuri にじさんじは英雄宅爆破事件辺りをふんわりと… ギバラとは！？
5925,@fukuyamahide001 BOT:大事故も　小さなゆだんと違反から
5929,@chisuhiyo_su 同じですね！！わかります！！ でも上位いくと多分美智子じゃ勝てないんだろうな〜と思いました(動画見たりして) 壁すり抜け刹那が致命的に下手で…よくグルチェされます(泣)
5931,@Johnny_A_Good @te_nchan 炎炎の消防隊の火縄中隊長とかぶりますが。 https://t.co/w6vjkTWciN
5935,@cntnzm 没落貴族の陥没乳首お嬢様がAVに出た時のあだ名
5940,@daiki_kohasu 全然関係ないんですけど(笑) 一昨年、西日本豪雨災害で被災してから自分はいつ死んでもおかしくないので、またで良いやと思っていた太鼓の練習を始めました(昨年の三月から)すると、太鼓を通じて色んな出会いがあったんで始めて良かったと思います👍✨✨なので、これからも頑張って行きましょう👍(笑)
5964,@anri__05 いや激突しとるやんけww
5965,@Ai_x01 喋んなバックレ土砂崩れ
5972,@ope_masashi 長野くんおはようございます🌱 10000回おめでたいですね！🥳沢山の人が支え繋いできたものをこれからも皆さんで繋いでいきましょう！💪✨10000回のお祝いは🗼でできませんでしたが10001回目の新たなスタートは🗼で応援します！😤 本日も怪我なく楽しい1日になりますように✨ いってらっしゃいませ！👋
5975,@thug13666 いや、もう二度と戻る積りはありませんよ (笑) 刑務所はすべて、せめてビデオBOX仕様の個室にして、 DVDは日に十枚まで貸し出し、大麻と覚醒剤は好きなだけどうぞ。 という形態で労務は一切無しにして欲しいですね。 https://t.co/t2JL5BGm2k
5979,@mmme713 めっちゃ警戒してる🤣 新しいものだし、変な音するし、やだよねぇ。
5981,@LEON1ch やっぱ暴走は良き
5988,@sakyky13102619 もしくは全チャンネルを EXITハイジャック企画…🤔笑 いつも携帯置く場所にカメラを置いて… っていつかTVで ルーティンとか流してほしい、、🥺
5989,@BcWingg なるほど...じゃあもう一回口で言ってみてもしそう言われたりなんも変わらなかったら警察に相談してみます。。
5991,"@229_tale ベリー！(*´艸`*)どもども吹雪ちゃんの朝シリーズを楽しみにしているものです♡表情豊かで楽しそう✨ 横のハニーさんがすごい好き♡ふふ てか筆記体･･･！！吹雪ちゃん文字綺麗(๑꒪ㅁ꒪๑)\"" 35078,吹雪"""
5992,@taketakecx 目撃者が一番たの詩奈
5996,@Ringo0111w 血まみれキッスwww
6000,@Rpuddin9 大昔の話やけどめちゃ好きやった☺️ え、やばいね、想像しただけで爆発しそう、、🥺おじさんボイスで「うおおおおお！！」って叫びたい🥺🥺
6001,@okazaemon52 悲しみのハリケーン ざえは？
6004,@a1fze8AN2S4fFDy ドルメン大帝「かつてエリオス帝国では王位継承者が生まれるたびにその細胞から影武者としてクローンが作られていた、エリオス皇帝の血筋を絶やさずその玉座を守るためだ！」 「そして成長すればけだもののように飼い殺しの生活を強いられたのだ 万が一王位継承者が負傷デモすればクローンは」
6008,@sonkoubun 1）2001年6月22日の夕方、四川省徳陽市広漢市三水町宝莲村小学校の門番が劉によって殺害された。 劉はずっと逃げ隠れている。 2020年1月26日、殺人犯の劉は重慶のフリンで逮捕されました。 広漢警察はすぐに行きました。 途中、フィードバックが届き、逃亡者は発熱症状がありました。
6009,@misane_0819 単発で騒いでる分には騒いでるうちに入らないという個人的感覚ww 大変なのはわかりきってるから適度にガス抜き(それで追いつくもんじゃないだろうけど)されたらよい。 またいつか馬肉的騒乱を起こそうｗ
6017,@shiromanta1020 やめてください爆発してしまいます
6024,@AzRiri1 リプライ失礼します( ¨̮ ) 今回デュオゲリラの確定枠を頂きたく、リプライさせていただきました！！ 精一杯頑張ります🔥🔥🔥  チーム名／爆弾魔 代表者ID／@ttysh_mgchun   お忙しいとはおもいますが、ご検討の程よろしくお願いします🙇‍♂️💦 🖖
6028,@monimoni310 スタッフの悪かったところとか朝の朝礼で皆で話し合って解決策を考えてるよ。  利用者さんに怪我させてしまうことや誰かに怒られることは辛いけど、私たちが失敗して被害が出るのは利用者さん達だから( ノД`) 怪我させてしまった時に家族の人の対応をするのは施設長や相談員だから、私たち介護員は
6033,@shiratuyulover リロードしたら空母全員大破です()
6034,@__Keina___ けいなおはありいい 可愛くないよ  メイクしても土砂崩れだから
6041,@ginandayaka まずインフル検査を…
6044,@navigation_PCC_ この絵の意図や込められた意味は分かりません。 ただ、少し前にあるクルーズ船か何かが転覆？沈没？した時に海へ飛び出し避難した人がビール片手に笑っている、という写真(ツイート)を見たことはあります。ライフジャケット着用して海の上で…みたいな。
6056,@takashinagao 憲法を変える必要無し！ お前らが悪事を働かないように有るのが憲法だぞ。 何故、変えたがる？  緊急事態条項は必要無し！ お前らが一番危険ではないか。
6061,@muranonushi1942 ムラさんマスクつけてます？ なんかコンビニとかでマスクが全く無いんですけど、俺の警戒意識が低いのか…
6067,@R19284945 暴走する(´；ω；｀)
6070,@ItuwarinoHomura それならシリウスさんを人質にしますよ！ (日影さんなら2人まとめて調教とか言いそう…いや！もうシリウスさんは…)
6071,@sosetsu_TRPG 墜落事故…
6076,@03_kimuson @V79JATuk5gybBia 怪我人はいなかったみたいですよ 消防の方が言ってました
6079,@Maki_YFCz 面白いとは自分自身口にしてますが やっぱり過剰な煽り？や演出があるのは否めないですし何が良くて人気なのかってのをしっかりと作り手側が把握してないと大惨事になりそう(苦笑
6080,@mochimochigin はらぺこ！！！あおむしは！！！ただの大事故ですね🤦‍♂️🤦‍♂️🤦‍♂️🤦‍♂️🤦‍♂️🤦‍♂️🤦‍♂️ ありがとうございます😭ありがとうございます！ はらぺこあおむしは大事故です
6089,@irohanMiyamoto レムレム睡眠状態で悪夢が続く場合は、相当なストレスを無自覚で溜め込んでいる場合が多いので、推しを愛でるかサンドバッグ殴るかシャウトしてください(´･ω･) 僕は耳にも症状がくるので……最悪メニエールで突発性の目眩もちになっちゃいます(´･ω･) なる早で行ってみてください(*･ω･)b
6091,@hagukoutaross 頑ばる真悪参ちゃんのすっごーい！とたーのしー！が落雷で異世界転生 →みゃイト頑ばるちゃんとみゃタン頑ばるちゃんに分裂 →その後合体して すごリオルサーバルちゃんに！
6095,@arthor @gerogeroR よど号ハイジャック事件ですね。 当時はマスコミから賞賛されたけど 他国からは『テロリストの要求に応じたのは有り得ない』と言われたそうです。
6098,【絶体絶命都市2】殺人鬼が災害から逃げ惑うカオスゲー【にじさんじ/月ノ美兎】 https://t.co/hBDVYKPHpx @YouTubeさんから
6101,@yamayama1350 ありがとうございます😆 手首の靭帯負傷中なので🤣
6109,@KahoxAlice @Evil_Hunting もうストーカーですね🙄🤔
6110,@ospatyan ちなみに高校のとき1週間で部活やめたやつは「消防士になりたい」って言って先生にかなり問い詰められてた
6111,@kumanhatibei @kotomelontorid1 @sekinemasatoxxx @koike_akira とりあえず大須事件について書くが、この事件で騒乱罪適用の根拠として大きな比重を占めた「現場の証拠写真」は警察が撮影したものではなく毎日新聞が提供したもので、それは合成写真である疑いが強いものだということ。 https://t.co/YT0AwhVipg
6112,@get_fortune_man @su_blog_ @manabubannai @IHayato なるほど！誘拐や立てこもりの現場でネゴシエーターが使うワザと同じ感じですかね‼️
6113,@yuukyuunotaigi 伊勢周辺は上陸戦に備えたトーチカが多いようでネット上で纏めている方のサイトがあったかと思います。 和歌山も暴風雨に伴う地滑りなどで各電探所遺構が滅失寸前です。
6114,@rialy_TNPN それはほんとに思いました！！！！！！ もっと優しい人でイメージついてきちんと丁寧に謝罪しに行けばあんなにはならんと思う
6115,@arimoto_kaori キンペーを上げ奉っているうちに、事態は悪化する一方！  中国全土で騒乱の兆しが・・
6118,@kyouko_sugisita @celica_ds @ta0kka えっと仙ちゃん カラー生活9日目でした  金曜日までは瘡蓋がありましたが 今のところ出血は無さそうです
6120,最恐シーンをマイルドに!! 映画『犬鳴村』冒頭8分間映像の【恐怖回避モード】公開 https://t.co/dMldNccXde @YouTubeさんから KOにKOされた
6121,@Cecilia_Ago 確かに、私の戦闘力6万に対して、この人の戦闘力は3万ですから、もっと戦闘力高い人が欲しかったんでしょうね(´•ω•̥`)
6124,@Japangard そもそも、共産主義国家に拠点を置く、と言う事は『いつ社員が人質に取られても仕方が無い』と言う事と同じはずです。  そこまで各企業が考えているのかは、解りません。  しかし、いずれにせよ、『企業における、危機管理能力が低すぎる』事に間違いは無いと思います。
6127,@vG2AZlCr4F3hx6Y 検査拒否した二人の帰国者に炎上しまくりでしたが自己申告してこの対応されたらどうすればいいんだ
6136,@akihito8524 地震がくれば戻るはず！！  セルフ震源地おねがいします((((　’ω’　)))) https://t.co/aBc0LB0MfK
6138,@48manaka_16 ビバ！ハリケーン🌪
6150,@tekina_osamu 進次郎のプライベートなど何の興味もない。 しかし政治資金を使い込むとなれば話は別 説明責任は免れないはず。 しかし自民党議員は横領しても問題なしなの？
6154,動画が消えている→ペテルブルクでスポーツ施設の屋根が崩壊　負傷者の可能性も【動画】: https://t.co/Rr13xAEpZa @sputnik_jpさんから
6158,@pika5s サイレン‼️って感じになってなおさら怖いんですよね💦 BGMがうさまるアニメの歌になれば…！ いや、それはのんびりちゃうからダメか…🤔
6159,@shoko922525 伝説の目撃者になってくるぞい！！！
6165,@Karakuriya 赤く!燃えている!
6169,@applemania_r 頭がスッキリ体も軽く 思い切りも良くなりましたので 今まで以上に素早く殺人鬼の間合いに入れる様になりました💮  素早く飛び込み速攻ボロボロ、 手早く仕留めて担架で運ばれ  そして医務室に運ばれて ペトラさんと一緒に セレーノさんのお説教聞いてます。
6171,@takashinagao 必要なのは狂った 与党政治家の大多数の入れかえです 必要なのは心ある政治です！ 利権まみれの政治は必要ないです！ まずは利権まみれに  ならない法整備等とスパイ防止法が 必要です 敵国条項もはやくなくさなくては いけないです！ 西日本大豪雨の時にカジノ法案やってた 与党政治は狂ってます！！
6173,@NOmfWbCapvLtVzS 炎上したYouTuberの謝罪動画かよ！
6175,@810tetsu810 ずっとメインが続いてるようですけど気のせいですか！？ 気のせいですよね、、、。 埼玉県民に対する暴力と理解したので譴責金200万円お振込みお願いします☆
6178,@arimoto_kaori 検査してる間に治るから何なんだろうと失礼ながら笑ってしまった 隔離なんか最初から考えてないですね
6182,@eto10091217 今でも化粧寄れるのに夏とか土砂崩れなるわ笑
6186,@ilovecat222 その、考え。いい加減やばいよね。 親子間や親族間での殺人事件が多いんだって 日本は。なのに血縁を重んじる。 虐待被害者はいつまでも苦しむ。
6190,@DD_Fubuki_11 おはよう、吹雪！ ……うん。やっぱり吹雪だね。
6196,@FonS0506 なるほど… 確かにちょっと難しいかもですね…… では、シェリアク君が誰かに強引な絡み方をするのを目撃するとすっ飛んできて諌め、ダメなら最悪回収していく保護者的立場で大丈夫でしょうか？
6198,@liptylipty @TaiyuuAo121921 退避イイイイーーー！！！！！！🏃‍♂️🏃‍♀️🏃‍♂️🏃‍♀️
6203,@0kotori その可能性もあるか(´・ω・`) 死にかけるような重症者は優先的に診断されてると信じたいけど中国(´・ω・`)
6209,@LMN0505 警察博物館前です！
6220,@SUBARU2004LIMIT 逆剥けなので大した怪我じゃないですけど、血が止まらかなったので😢  本当に優しく対応していただきありがたかったです…
6225,@R_xoxoxoxo 検査ついてるやで
6232,@You_gkt サイレンもお好きなのですねー！！！😍 まさか珱さんの牧野さんが見れるとは！ 双子好きです🙏
6233,@BureiMovie @Wink_pocket 大火災じゃぁぁぁぁぁぁ🚒🚒🚒
6237,@arata__ikemen 幼少期バランスボールから落ちたら現在の土砂崩れ顔になりました。(((え？
6239,@maiko_WAZACREW ｄメニューニュース:ペットを傷つければ器物損壊罪！？迷子のペットを拾えば遺失物横領罪！？「ペット」について弁護士に聞いてみた！（日本タレント名鑑） https://t.co/KBYd49zLIn
6240,@kurosuz0726 きっと戦闘力がある騎士くんの物語だね
6242,@koueki2 @2488uA 安倍事務所が夕食会を主催し、会費5000円を集金。集まった金をその場でホテルニュー大谷に渡した。収支ゼロ円だから収支報告書に記載せず。ん？書かなかったら横領してた場合には罪が余計に増すぞ。ここまで倫理感ゼロ、恥知らずの晋三を選ぶ山口4区選挙民、不作為な司法にはホントに怒り💢しかない‼️
6243,@suga__b 1958年、ハイジャック事故で運航停止して30年間グランドハンドリングとケータリング専業だったそうです。 (Wikiより)
6245,@zaregotonandayo （その１） どうもこんにちは。 まあ、黒木さんの意見も分かるが、それ以外でも人の悪口や、ゲーム、アニメ、漫画に対してのいちゃもんをしている黒木さんは、その人達に対しての謝罪をしないのですか？
6257,@daniel_masa そうですね。 少し前のアメリカの刑事ドラマなんかにはよく出てました。 覚醒剤みたいなモノかと。
6269,@Fearless_Ira 「ハリケーンアワー」はもっと評価されていい。 大傑作だと思ってる。
6270,佐伯編は最後の選択肢で何を選ぶのか楽しみだ。  #みとの生放送  【絶体絶命都市2】殺人鬼が災害から逃げ惑うカオスゲー【にじさんじ/月ノ美兎】 https://t.co/fAhIE3XQ5n @YouTubeさんから
6273,@engacyo39800yen 爆弾かわかっこいいー！！！🦀
6276,@Alice071227 あら！まあそうですよねえ、🤔おまけいべんとみたいなもんですし.......😢去年ろふとさんとかで炎上もありましたし。。。 ですです！！！😭😭😭軽率に送れてよきものだったのですが🥺💦かなしきかな、、、、何年間かしてくださってありがとうってかんじです.......
6278,@Ohashi_suzu @kyo_fu28 いや加工しないとまじで土砂崩れ！！！爆笑
6295,@aaMKbk9cGEolttz こういう外国人居ますよね。 意味不明な行動が怪我するパターン。
6300,@hayashijun @BUYAMABE アメリカと距離を置いて、北朝鮮と国交。国内に中国軍(民族解放軍)を駐留。中国軍に対して思いやり予算の創設。 日本民族の浄化と称して、隔離と虐殺。 ですか？
6301,@tsuisoku テロ国家だろ
6303,@kaira_mey_mey ただただ謝罪の気持ちでいっぱいになるよ… 悪いのはリスナーの方なのに
6308,@DHisacchi @EARL_Med_Tw @katsuyatakasu EARLさんは気になってツイート読んでみたけど、中国の発表を元に対策をたてる、逆に中国の発表を元に出来無いとしたら何も出来ない様な、もっともな事をかかれていて素晴らしいなぁと思いましたが  それだけでは緊急時の対応は出来ず最悪を想定して騒ぐ人も必要だと思います。感染症のプロは草
6310,@tamatti7 初リプ失礼します🙇‍♂️  去年も15歳扱いでしたよね？笑 でも雷白玉爆誕は嬉しすぎます！！
6315,@dappi2019 北朝鮮と密接な関係にある、拉致容疑者、ハイジャック犯の近親がいる市民の党へ自身の応援団体が400万近い献金をしていた越後の暴れん坊(笑)の真っ黒岩さん
6318,@plmokn_125 僕は好きな人と自分を引き剥がすために、一度事件を起こしました。逮捕歴があります。自分ではどうすることもできないし、誰にも相談できなかったから、そうするしかなかったです。 死ぬかどうかの選択で、僕は死ねなかったから。あなたにはあなたの答えがあると思います。僕はそれを見ています。
6320,@ume_agemasu これ見てるだけでも腹筋が爆発するのでまたアップしていただけると嬉しいです･:*ゞ(∇≦* )ｷﾞｬﾊﾊ
6322,@sharenewsjapan1 @saikami226 誰かが言っていた、昔〝格闘ゲームがあるから暴力事件が起こる〟って言う考えと同じだな とにかくなんでもいいから縛り付けろって考えが安易すぎて逆に笑えるわ
6331,@05_2_1ARiNco 1987 工作黒金星 ある優しき殺人者の記録 グムエル TSUNAMI 監視者たち ラッキー 傷だらけのふたり 殺人の告白 トンネル ハイヒールの男  書ききれないー！ 増やしたい！韓国映画ファン！
6335,@bokuhadokoniiru @lilycornneo 目に見えない形で､安倍が総理就任以前から公金の私物化が官僚や一部の政治家間で共犯関係が出来上がっていて常態化してるんでしょう。 暗黙の了解で｡だから一部の官僚や政治家は横領に全く罪悪感が無い。 消えた年金なんて、官僚と政治家ぐるみでネコババしてたんですから犯人が捕まらなかった。
6339,@daisukieruchan 成田の騒動とか、大久保清、浅間山荘事件とか、実生活に影響無い事件は多かったけど、  何か世間が、パニック🌀😱してるぅ 感覚は鮮明だよね😅  お互いに、そんなんで死にたく無いから、手洗い、うがいすね🙋  人間自分が、一番可愛って、騒動見て思います😒
6340,@MeLuLu0930 ストーカー気味だった？ そうだったらごめん
6342,@u292941 ハイジャック犯にしか見えねぇ…
6344,@qRhs08PgWzcDvv1 えぇええ(｡&gt;_&lt;｡)！ 緊急事態だぁ！(｡&gt;_&lt;｡)ﾉ ⌒ 🍖🍕🥩🍟🍮🍔ｗ
6345,@darkhalflunatic 吹雪と叢雲は今まではオカズの対象外だったのに カラー版のつれしょんと、おしっこれくしょんを見てからは オカズになってしまいました。
6348,@mugaku_rigaku まあ、その水槽で大災害起こさせちゃったならしゃあないよね。
6350,@redhorn1 びっくりしましたよね(・・;)  結局のところ、何がこれ程の批判を呼んだかと言ったら、そこが改善出来ていないのが露呈した事への不安だと思うんですよね…。  何も知らない新規層ならともかく、不調を長年耐えてきたファン層へのアプローチだっただけに、余計警戒されたのでしょうね。
6357,@adachib 私はそのお母さんが本当に気の毒だと思いましたし、自分の意思で避難したと思っていますけど…。  私が「困ったものだ」という感情を抱いた相手を勘違いなされてます？
6361,Amazon PODは、こんな感じの本です!  ⛄紙書籍派の方はぜひ⛄  『宮廷薬剤師の過保護な執愛～花開く幼馴染の煌めく祈り～』（夢中文庫プランセ @muchubunko）  著:吹雪歌音　イラスト:甘海老りこ様（@2_riko_7）  【上巻】https://t.co/GEXP5Epsdr 【下巻】https://t.co/lfULY6qW97 https://t.co/pWN9zdCc3y
6363,@n_1_0314 飢饉に陥って肉食動物の本能が剥き出しになってしまい村が草食動物と肉食動物に完全に二分されてしまったところから始まりそう
6365,@HCAegislash グロパンは大事故
6377,#楽譜  見て先生のビデオ見て 左右で打つ練習 叩けると楽しい。 でも でも #メトロノーム に合わしてなかなか叩けない。  メトロノームに合わせられないって致命的だけど  やるしかないd(@^∇ﾟ)/ﾌｧｲﾄｯ♪ https://t.co/upqEhBzb2d
6378,@bongasta 見てましたが、話がかみ合わない感じがしますね。薬剤でしか論じてない方と大麻自体の成分で話をしている方の対話のように見えています。 エビデンス云々はPubMedで自分で調べろって話だと思います。
6382,@chun0930 そんなに死傷者が・・・
6383,@youto39NSX 強盗入るの？
6385,@Appleya_MCO 殴るよ
6387,@yasu1971 血液検査では尿酸値以外何も言われませんでしたビールうまいっす🥺
6388,@kitakazekurumi @naka_yasushi そもそも嘘ついて誠実さの欠片もない人に緊急事態だからといって白紙委任状を預けることができないことが問題だと思われます。憲法改正したいんでしょ？ (´・ω・`)ｺﾚﾃﾞｼﾝﾖｳｼﾛﾄｲﾜﾚﾃﾓ
6398,@ogino_otaku 「性的搾取」という格好のいい表現にしているだけで、その意味は「気持ち悪い、不快、生理的に受け付けない」です。「窃盗」を「万引き」、「暴行」を「いじめ」と言い換えるのと同じことですね。
6399,@mojito1130 対面で上から殴るという対策をとることにしました()
6400,@kharaguchi あたかも、桜を悪用した「買収・公職選挙法違反 etc の極めて悪質な疑惑 」を追及したから、ウィルス対策ができない？😂子供でもそんなアホな詭弁を弄しない。  うちの息子が万引きしたけど、ウィルスが流行してるから「万引き追及」など重要じゃない❗って言える？政策実務者は多数います。
6402,@72kakakaka73 キュン死する人が続出して大量殺人鬼になってしまいますね( ￣▽￣)
6403,@eMo_emO_tion げむちゃんが燃えている(ง🔥Д🔥)ง
6409,@ame__iy よかった生存者確認
6414,@aya_momoichigo @kuma_to_panda_R @kunsei_kunkun あなたはツイッターでその瞬間の目撃者となる！！近日公開？同時上映「お買いものパンダZ」
6416,@illorill @hiyashiraaaamen 屍化を持ち出したのは私だがサイレンの話を持ち出したのは招布さんです👈👈 屍化してるのにロルくんに発情してる先生やばいっすね…😌💦👌
6417,@syar000n AI崩壊みにきた
6421,@nntigers7 @KadotaRyusho @shoetsusato 客観的に見ても、確実に日本は 人権意識は低いですよ。  ・取り調べ時の弁護士同席不可 ・交流期間の長さ（人質司法） ・死刑制度の存在  これが海外に知られているから 今回も海外の目を気にして 大胆な行政ができなかったんでしょうね。  日本の犯罪者引き渡し条約は、 アメリカと韓国のみ。
6425,@yuuyuunohousoku 私は血液型ですぐ分かる💡 「この人とは、付き合えない な⁉️」って思った人は、必ず 同じ血液型😲 男性と女性とでは違うけどね😉
